station,longitude,latitude,year,month,date,月降水量_mm,月PET_mm,SPI_1m,SPI_3m,SPI_6m,SPI_12m,SPEI_1m,SPEI_3m,SPEI_6m,SPEI_12m
Baise,106.62,23.9,2005,1,2005-01,31.62,11.31,0.0777,,,,-0.0162,,,
Baise,106.62,23.9,2005,2,2005-02,17.36,27.07,-0.2548,,,,-0.1885,,,
Baise,106.62,23.9,2005,3,2005-03,52.7,48.98,0.2375,-0.1906,,,0.4715,0.1518,,
Baise,106.62,23.9,2005,4,2005-04,91.5,99.98,0.3819,0.076,,,0.1623,0.3112,,
Baise,106.62,23.9,2005,5,2005-05,253.89,159.14,0.6099,0.5817,,,0.4337,0.5294,,
Baise,106.62,23.9,2005,6,2005-06,514.2,149.41,2.2476,1.658,1.3398,,1.7623,1.3396,1.1958,
Baise,106.62,23.9,2005,7,2005-07,125.55,155.96,-1.1892,0.9876,0.8908,,-1.0842,0.8355,0.8226,
Baise,106.62,23.9,2005,8,2005-08,195.61,142.02,0.0239,0.7302,0.7884,,-0.164,0.6879,0.802,
Baise,106.62,23.9,2005,9,2005-09,82.5,117.47,-1.1889,-1.1278,0.4362,,-1.1041,-1.0013,0.4264,
Baise,106.62,23.9,2005,10,2005-10,37.2,78.14,-1.1354,-0.8899,0.1843,,-1.0074,-0.8006,0.2428,
Baise,106.62,23.9,2005,11,2005-11,25.5,47.92,-0.4705,-1.5785,-0.1127,,-0.5796,-1.5978,-0.0973,
Baise,106.62,23.9,2005,12,2005-12,27.9,14.91,0.4446,-0.9074,-1.3944,0.0576,0.6469,-0.796,-1.1655,0.1511
Baise,106.62,23.9,2006,1,2006-01,3.41,19.7,-1.8333,-1.1417,-1.1099,0.0708,-1.5159,-1.2036,-0.9816,0.1201
Baise,106.62,23.9,2006,2,2006-02,33.32,25.67,0.5096,-0.6896,-1.5566,0.143,0.4709,-0.4464,-1.2756,0.2004
Baise,106.62,23.9,2006,3,2006-03,17.67,60.21,-1.0212,-1.449,-1.6402,-0.0197,-0.8849,-1.115,-1.2769,-0.1305
