station,longitude,latitude,year,month,date,气温_2m_℃,最高气温_℃,最低气温_℃,气温日较差_℃,露点温度_℃,地表温度_℃,气压_kPa,风速_10m_ms,最大风速_10m_ms,风向_10m_度,风速_50m_ms,相对湿度_%,比湿_gkg,降水量_mm_day,短波辐射_全天空_kWhm2day,长波辐射_全天空_kWhm2day,光合有效辐射_kWhm2day,UVA辐射_kWhm2day,UVB辐射_kWhm2day,紫外线指数,短波辐射_晴空_kWhm2day,长波辐射_晴空_kWhm2day,总云量_%,蒸散发_mm_day,陆地蒸发_mm_day,根区土壤湿度_01,剖面土壤湿度_01,表层土壤湿度_01,高温指数_℃,风寒指数_℃
Baise,106.62,23.9,2005,1,2005-01,9.2,28.51,-2.77,11.21,4.45,9.56,96.43,2.66,6.97,74.3,4.27,75.14,5.73,1.02,6.73,28.67,3.1,0.42,0.01,0.58,15.02,25.3,66.45,0.11,0.81,0.53,0.53,0.53,,7.75
Baise,106.62,23.9,2005,2,2005-02,13.86,34.23,0.52,14.5,7.36,14.61,96.16,3.42,7.46,92.2,5.13,68.26,7.25,0.62,10.04,30.58,4.64,0.62,0.02,0.96,18.26,27.57,61.3,0.14,1.08,0.52,0.52,0.5,,
Baise,106.62,23.9,2005,3,2005-03,16.78,33.88,3.54,13.89,9.53,17.46,96.22,3.33,8.11,106.6,5.12,66.15,8.29,1.7,11.19,31.08,5.15,0.68,0.02,1.04,20.58,28.06,74.28,0.17,1.31,0.51,0.52,0.5,,
Baise,106.62,23.9,2005,4,2005-04,22.73,38.85,11.41,13.43,14.99,23.39,95.78,2.98,7.07,135.5,4.76,65.96,11.42,3.05,14.76,33.0,6.78,0.88,0.02,1.4,22.96,31.02,63.68,0.54,2.06,0.53,0.53,0.52,22.78,
Baise,106.62,23.9,2005,5,2005-05,26.95,39.99,18.4,11.79,20.83,27.34,95.11,2.75,6.87,159.2,4.69,73.49,16.43,8.19,19.11,34.76,8.99,1.21,0.03,2.01,26.06,33.24,65.91,2.71,4.16,0.62,0.61,0.65,29.06,
Baise,106.62,23.9,2005,6,2005-06,26.34,33.72,21.35,7.33,23.86,26.38,94.86,2.15,4.97,129.8,3.72,87.24,19.68,17.14,13.81,35.97,6.74,0.94,0.03,1.64,25.55,34.48,91.3,3.49,4.79,0.88,0.87,0.89,28.76,
Baise,106.62,23.9,2005,7,2005-07,26.58,33.6,21.11,8.14,23.46,26.56,95.17,2.35,6.34,151.5,4.01,84.35,19.12,4.05,18.13,35.18,8.61,1.18,0.03,2.08,26.54,33.68,65.77,5.36,5.54,0.86,0.86,0.86,29.14,
Baise,106.62,23.9,2005,8,2005-08,25.95,35.58,19.51,8.35,22.95,26.01,95.13,1.94,4.53,103.5,3.46,84.91,18.56,6.31,14.47,35.76,6.96,0.96,0.03,1.65,24.31,33.86,85.24,5.36,4.98,0.81,0.8,0.83,26.82,
Baise,106.62,23.9,2005,9,2005-09,24.81,33.01,16.83,9.99,20.92,24.82,95.69,2.39,6.7,71.3,4.23,80.91,16.32,2.75,16.09,34.21,7.51,1.02,0.03,1.69,22.85,32.55,59.8,5.89,4.9,0.72,0.73,0.75,25.46,
Baise,106.62,23.9,2005,10,2005-10,20.98,32.73,10.21,10.94,16.03,21.15,96.25,2.28,4.98,63.5,4.04,75.68,12.16,1.2,12.14,32.79,5.54,0.72,0.02,1.15,18.03,30.43,60.91,3.38,3.05,0.62,0.63,0.64,21.11,
Baise,106.62,23.9,2005,11,2005-11,17.56,31.32,4.79,11.2,12.86,17.77,96.28,2.34,4.66,74.4,4.12,76.25,10.33,0.85,10.31,30.88,4.71,0.62,0.02,0.97,16.15,28.53,60.54,1.43,1.91,0.59,0.59,0.59,,
Baise,106.62,23.9,2005,12,2005-12,10.46,24.71,-0.3,11.03,3.84,10.66,96.74,2.66,6.95,54.6,4.5,66.89,5.57,0.9,8.44,27.65,3.76,0.48,0.01,0.67,14.13,24.97,59.79,0.36,1.04,0.55,0.56,0.55,,
Baise,106.62,23.9,2006,1,2006-01,11.75,27.19,-1.26,13.07,6.07,12.11,96.33,2.81,6.25,77.7,4.67,71.0,6.61,0.11,9.17,28.73,4.1,0.54,0.01,0.83,15.42,25.52,60.16,0.25,0.9,0.54,0.55,0.53,,
Baise,106.62,23.9,2006,2,2006-02,13.54,30.04,4.13,11.31,8.31,14.17,96.45,3.17,7.02,82.8,4.79,73.19,7.34,1.19,7.53,31.19,3.57,0.5,0.01,0.83,18.03,27.17,86.85,0.15,1.03,0.52,0.53,0.52,,
Baise,106.62,23.9,2006,3,2006-03,18.38,35.41,2.51,14.68,10.99,19.22,95.91,3.2,9.34,104.2,4.97,66.09,9.05,0.57,11.77,32.6,5.36,0.7,0.02,1.18,20.05,28.86,80.91,0.26,1.31,0.52,0.52,0.49,,
Baise,106.62,23.9,2006,4,2006-04,24.67,40.18,9.63,14.64,15.33,25.47,95.51,3.4,7.38,151.6,5.34,60.81,11.81,2.88,16.94,33.26,7.76,1.01,0.03,1.75,23.71,31.19,64.93,0.44,2.08,0.51,0.52,0.49,24.78,
Baise,106.62,23.9,2006,5,2006-05,24.78,39.75,14.2,11.82,18.11,25.2,95.52,2.75,8.49,128.3,4.58,70.82,14.06,6.33,17.25,33.6,8.1,1.11,0.03,1.8,26.38,31.85,67.93,1.95,3.37,0.58,0.58,0.61,25.16,
Baise,106.62,23.9,2006,6,2006-06,25.93,34.88,20.07,7.91,23.12,26.02,95.11,2.22,4.4,154.8,3.89,85.78,18.75,10.2,15.28,35.54,7.36,1.02,0.03,1.72,25.75,33.99,87.26,4.22,4.56,0.76,0.75,0.81,26.82,
Baise,106.62,23.9,2006,7,2006-07,26.64,33.8,21.3,7.88,23.75,26.64,94.87,2.14,7.66,127.9,3.75,85.41,19.53,9.34,16.37,35.76,7.87,1.1,0.03,1.91,26.31,34.29,81.3,4.8,5.04,0.86,0.85,0.87,29.37,
Baise,106.62,23.9,2006,8,2006-08,25.63,32.8,19.6,7.62,22.78,25.5,95.18,2.12,11.34,72.8,3.63,85.42,18.35,8.12,15.55,34.96,7.34,0.99,0.03,1.69,24.2,33.49,75.24,4.32,4.5,0.91,0.9,0.89,26.48,
Baise,106.62,23.9,2006,9,2006-09,23.21,32.78,13.74,9.77,19.32,23.09,95.72,2.25,5.69,64.2,3.97,80.43,14.99,2.54,16.9,33.25,7.76,1.02,0.03,1.65,22.01,31.75,57.03,5.51,4.75,0.8,0.8,0.81,23.69,
Baise,106.62,23.9,2006,10,2006-10,22.5,30.08,13.74,9.65,19.02,22.56,96.12,1.96,4.33,103.2,3.62,82.33,14.46,2.78,11.08,33.83,5.07,0.65,0.02,1.0,17.45,31.62,63.98,4.12,3.57,0.68,0.69,0.72,22.96,
Baise,106.62,23.9,2006,11,2006-11,17.44,29.2,7.2,11.14,12.91,17.37,96.18,2.31,5.04,68.5,4.06,77.09,9.89,1.37,10.62,31.09,4.78,0.61,0.01,0.85,15.65,28.57,58.51,2.3,2.29,0.63,0.63,0.65,,
Baise,106.62,23.9,2006,12,2006-12,11.62,26.69,2.07,12.32,5.99,11.59,96.7,2.5,6.01,56.0,4.3,71.33,6.23,0.23,9.51,27.6,4.13,0.51,0.01,0.68,13.71,25.15,51.87,0.85,1.37,0.59,0.6,0.6,,
Baise,106.62,23.9,2007,1,2007-01,9.54,22.34,-0.1,11.95,3.48,9.72,96.82,2.77,6.47,51.1,4.5,69.28,5.21,0.7,7.62,28.7,3.41,0.45,0.01,0.64,14.93,24.7,77.63,0.31,1.05,0.57,0.57,0.56,,8.09
Baise,106.62,23.9,2007,2,2007-02,17.39,30.73,5.66,13.43,11.44,17.63,96.03,2.98,7.62,152.2,4.93,71.85,9.17,1.06,11.71,31.06,5.23,0.67,0.02,0.98,17.57,27.98,63.58,0.39,1.37,0.55,0.55,0.54,,
Baise,106.62,23.9,2007,3,2007-03,19.09,37.65,5.45,13.8,12.18,19.74,95.83,3.45,7.39,135.7,5.41,68.76,9.73,0.75,12.46,32.55,5.55,0.69,0.02,1.12,19.42,29.19,73.86,0.4,1.54,0.53,0.54,0.51,,
Baise,106.62,23.9,2007,4,2007-04,20.65,38.86,6.85,13.37,12.75,21.28,95.91,2.8,9.24,86.8,4.43,64.77,9.97,2.37,14.18,32.58,6.5,0.84,0.02,1.31,22.65,29.9,80.55,0.45,1.75,0.52,0.53,0.51,20.46,
Baise,106.62,23.9,2007,5,2007-05,24.87,40.34,14.21,13.39,17.0,25.31,95.46,2.45,6.41,146.6,4.14,66.3,13.13,4.16,18.28,33.38,8.54,1.16,0.03,1.87,26.39,31.77,66.14,1.49,3.0,0.56,0.56,0.56,25.14,
Baise,106.62,23.9,2007,6,2007-06,26.39,35.23,18.92,9.22,22.57,26.55,95.07,2.24,5.06,154.9,3.91,81.34,18.17,8.37,17.83,35.39,8.49,1.17,0.03,2.0,26.22,33.76,81.6,4.89,4.62,0.66,0.65,0.71,28.52,
Baise,106.62,23.9,2007,7,2007-07,26.51,33.7,21.56,7.66,23.51,26.6,95.04,2.64,6.04,163.4,4.55,84.9,19.2,6.84,16.6,35.55,8.0,1.13,0.03,2.03,26.65,33.94,89.71,5.53,4.89,0.72,0.71,0.77,29.02,
Baise,106.62,23.9,2007,8,2007-08,26.4,34.72,19.94,8.97,22.53,26.38,95.1,1.95,5.26,98.5,3.44,81.03,18.1,7.83,17.42,35.07,8.2,1.1,0.03,1.9,24.44,33.66,70.96,5.87,4.9,0.71,0.71,0.75,28.52,
Baise,106.62,23.9,2007,9,2007-09,22.82,31.71,13.66,9.35,19.55,22.8,95.57,2.44,5.5,45.0,4.25,83.28,15.12,6.48,13.89,33.63,6.53,0.89,0.03,1.47,22.58,32.01,69.18,5.11,4.6,0.79,0.78,0.81,23.33,
Baise,106.62,23.9,2007,10,2007-10,20.22,31.25,11.07,10.45,15.86,20.23,96.15,2.36,5.62,57.5,4.16,77.98,12.03,0.78,12.15,32.3,5.45,0.69,0.02,1.07,17.7,30.12,56.02,4.16,3.44,0.68,0.68,0.7,20.33,
