文件名,变量名,数据来源,说明
guangxi_ground_meteorology_monthly.csv,station,NASA POWER,站点名称，广西8个代表性城市
guangxi_ground_meteorology_monthly.csv,longitude,NASA POWER,经度
guangxi_ground_meteorology_monthly.csv,latitude,NASA POWER,纬度
guangxi_ground_meteorology_monthly.csv,year,NASA POWER,年份
guangxi_ground_meteorology_monthly.csv,month,NASA POWER,月份
guangxi_ground_meteorology_monthly.csv,date,NASA POWER,日期，格式YYYY-MM
guangxi_ground_meteorology_monthly.csv,气温_2m_℃,NASA POWER,2m高度气温月均值
guangxi_ground_meteorology_monthly.csv,最高气温_℃,NASA POWER,月内最高气温统计值（NASA POWER T2M_MAX），反映该月高温极端程度
guangxi_ground_meteorology_monthly.csv,最低气温_℃,NASA POWER,月内最低气温统计值（NASA POWER T2M_MIN），反映该月低温极端程度
guangxi_ground_meteorology_monthly.csv,气温日较差_℃,NASA POWER,月均日温差（NASA POWER T2M_RANGE），日最高与日最低温差月平均
guangxi_ground_meteorology_monthly.csv,露点温度_℃,NASA POWER,露点温度月均值
guangxi_ground_meteorology_monthly.csv,地表温度_℃,NASA POWER,地表温度月均值
guangxi_ground_meteorology_monthly.csv,气压_kPa,NASA POWER,地面气压月均值
guangxi_ground_meteorology_monthly.csv,风速_10m_ms,NASA POWER,10m高度风速月均值
guangxi_ground_meteorology_monthly.csv,最大风速_10m_ms,NASA POWER,10m高度最大风速月均值
guangxi_ground_meteorology_monthly.csv,风向_10m_度,NASA POWER,10m高度风向月均值，0=北 90=东
guangxi_ground_meteorology_monthly.csv,风速_50m_ms,NASA POWER,50m高度风速月均值
guangxi_ground_meteorology_monthly.csv,相对湿度_%,NASA POWER,相对湿度月均值
guangxi_ground_meteorology_monthly.csv,比湿_gkg,NASA POWER,比湿月均值
guangxi_ground_meteorology_monthly.csv,降水量_mm_day,NASA POWER,月均日降水量
guangxi_ground_meteorology_monthly.csv,短波辐射_全天空_kWhm2day,NASA POWER,全天空条件下短波辐射月均值
guangxi_ground_meteorology_monthly.csv,长波辐射_全天空_kWhm2day,NASA POWER,全天空条件下长波辐射月均值
guangxi_ground_meteorology_monthly.csv,光合有效辐射_kWhm2day,NASA POWER,光合有效辐射月均值，单位kWh/m²/day（NASA POWER ALLSKY_PAR_TTL）
guangxi_ground_meteorology_monthly.csv,UVA辐射_kWhm2day,NASA POWER,UVA(315-400nm)辐射月均值，单位kWh/m²/day（NASA POWER ALLSKY_UVA）
