station,longitude,latitude,year,month,date,NDVI
Baise,106.62,23.9,2005,1,2005-01,0.089
Baise,106.62,23.9,2005,2,2005-02,0.1196
Baise,106.62,23.9,2005,3,2005-03,0.1358
Baise,106.62,23.9,2005,4,2005-04,0.2082
Baise,106.62,23.9,2005,5,2005-05,0.2073
Baise,106.62,23.9,2005,6,2005-06,0.1988
Baise,106.62,23.9,2005,7,2005-07,0.2216
Baise,106.62,23.9,2005,8,2005-08,0.2602
Baise,106.62,23.9,2005,9,2005-09,0.2177
Baise,106.62,23.9,2005,10,2005-10,0.1664
Baise,106.62,23.9,2005,11,2005-11,0.1888
Baise,106.62,23.9,2005,12,2005-12,0.1236
Baise,106.62,23.9,2006,1,2006-01,0.1196
Baise,106.62,23.9,2006,2,2006-02,0.1611
Baise,106.62,23.9,2006,3,2006-03,0.1396
Baise,106.62,23.9,2006,4,2006-04,0.1988
Baise,106.62,23.9,2006,5,2006-05,0.2212
Baise,106.62,23.9,2006,6,2006-06,0.2266
Baise,106.62,23.9,2006,7,2006-07,0.2155
Baise,106.62,23.9,2006,8,2006-08,0.2772
Baise,106.62,23.9,2006,9,2006-09,0.2214
Baise,106.62,23.9,2006,10,2006-10,0.2135
Baise,106.62,23.9,2006,11,2006-11,0.1242
Baise,106.62,23.9,2006,12,2006-12,0.1355
Baise,106.62,23.9,2007,1,2007-01,0.1324
Baise,106.62,23.9,2007,2,2007-02,0.1402
Baise,106.62,23.9,2007,3,2007-03,0.1623
Baise,106.62,23.9,2007,4,2007-04,0.1822
Baise,106.62,23.9,2007,5,2007-05,0.1988
Baise,106.62,23.9,2007,6,2007-06,0.2048
Baise,106.62,23.9,2007,7,2007-07,0.2744
Baise,106.62,23.9,2007,8,2007-08,0.2276
Baise,106.62,23.9,2007,9,2007-09,0.2274
Baise,106.62,23.9,2007,10,2007-10,0.16
Baise,106.62,23.9,2007,11,2007-11,0.1904
Baise,106.62,23.9,2007,12,2007-12,0.0934
Baise,106.62,23.9,2008,1,2008-01,0.0702
Baise,106.62,23.9,2008,2,2008-02,0.1306
Baise,106.62,23.9,2008,3,2008-03,0.144
Baise,106.62,23.9,2008,4,2008-04,0.2048
Baise,106.62,23.9,2008,5,2008-05,0.2136
Baise,106.62,23.9,2008,6,2008-06,0.2437
Baise,106.62,23.9,2008,7,2008-07,0.2484
Baise,106.62,23.9,2008,8,2008-08,0.2341
Baise,106.62,23.9,2008,9,2008-09,0.2365
Baise,106.62,23.9,2008,10,2008-10,0.2159
Baise,106.62,23.9,2008,11,2008-11,0.2142
Baise,106.62,23.9,2008,12,2008-12,0.1168
Baise,106.62,23.9,2009,1,2009-01,0.1348
Baise,106.62,23.9,2009,2,2009-02,0.1803
Baise,106.62,23.9,2009,3,2009-03,0.1679
Baise,106.62,23.9,2009,4,2009-04,0.1937
Baise,106.62,23.9,2009,5,2009-05,0.206
Baise,106.62,23.9,2009,6,2009-06,0.2072
Baise,106.62,23.9,2009,7,2009-07,0.2532
Baise,106.62,23.9,2009,8,2009-08,0.2385
Baise,106.62,23.9,2009,9,2009-09,0.2305
Baise,106.62,23.9,2009,10,2009-10,0.2158
Baise,106.62,23.9,2009,11,2009-11,0.1898
