station,longitude,latitude,year,month,date,比湿_gkg_500hPa,比湿_gkg_700hPa,比湿_gkg_850hPa,比湿_gkg_925hPa,比湿_gkg_1000hPa,水汽通量_kg_ms_500hPa,水汽通量_kg_ms_700hPa,水汽通量_kg_ms_850hPa,水汽通量_kg_ms_925hPa,水汽通量_kg_ms_1000hPa,温度_℃_200hPa,温度_℃_500hPa,温度_℃_700hPa,温度_℃_850hPa,温度_℃_925hPa,温度_℃_1000hPa,露点温度_℃_500hPa,露点温度_℃_700hPa,露点温度_℃_850hPa,露点温度_℃_925hPa,露点温度_℃_1000hPa,风向_度_200hPa,风向_度_500hPa,风向_度_700hPa,风向_度_850hPa,风向_度_925hPa,风向_度_1000hPa,风速_ms_200hPa,风速_ms_500hPa,风速_ms_700hPa,风速_ms_850hPa,风速_ms_925hPa,风速_ms_1000hPa,K指数_℃,Showalter指数_℃,LCL高度_m_850hPa,整层水汽通量_kg_ms
Baise,107.5,25.0,2005,1,2005-01,0.889,3.465,5.792,6.472,7.703,0.002749,0.005354,0.002392,0.001811,0.001596,-53.05,-9.76,3.91,6.18,8.51,12.16,-26.39,-6.12,3.48,6.27,9.95,260.85,269.21,268.64,192.11,120.68,100.2,54.6,30.32,15.15,4.05,2.74,2.03,9.39,9.21,337.25,0.013903
Baise,107.5,25.0,2005,2,2005-02,0.72,4.447,7.918,8.656,10.355,0.002103,0.008043,0.004801,0.003197,0.003049,-51.57,-11.19,4.85,10.04,12.05,15.95,-28.68,-2.82,7.95,10.51,14.38,263.39,268.7,260.62,195.51,127.6,107.74,57.09,28.65,17.74,5.95,3.62,2.89,21.5,-0.84,261.7,0.021194
Baise,107.5,25.0,2005,3,2005-03,1.248,4.926,7.979,9.143,10.992,0.002732,0.006324,0.003106,0.00249,0.002096,-51.74,-10.57,4.47,10.03,13.26,17.27,-22.62,-1.45,8.06,11.32,15.29,267.06,271.81,263.98,187.98,128.16,112.31,50.72,21.47,12.59,3.82,2.67,1.87,22.74,-0.35,246.52,0.016748
Baise,107.5,25.0,2005,4,2005-04,1.332,6.008,10.438,12.565,15.113,0.002461,0.006392,0.004527,0.002793,0.002338,-52.88,-7.45,7.91,15.78,19.7,23.89,-21.88,1.26,12.01,16.12,20.24,261.25,269.34,262.73,205.78,163.48,145.47,39.0,18.12,10.43,4.25,2.18,1.52,28.59,-8.7,471.1,0.018512
Baise,107.5,25.0,2005,5,2005-05,2.099,7.542,13.628,17.31,20.267,0.002796,0.007292,0.007558,0.005171,0.004421,-50.83,-5.08,10.41,19.54,23.4,27.3,-16.58,4.43,16.04,21.12,24.93,264.64,257.22,248.47,196.67,156.67,125.1,22.04,13.06,9.48,5.44,2.93,2.14,34.69,-17.98,436.99,0.027237
Baise,107.5,25.0,2005,6,2005-06,4.264,10.043,15.796,20.005,23.66,0.00182,0.003301,0.004712,0.004256,0.004409,-48.67,-2.47,11.64,20.09,24.27,28.35,-7.81,8.54,18.32,23.43,27.46,310.08,267.26,246.22,185.89,150.73,111.51,5.53,4.18,3.22,2.93,2.09,1.83,37.78,-20.0,220.82,0.018498
Baise,107.5,25.0,2005,7,2005-07,2.787,7.908,14.239,19.521,22.71,0.000768,0.003416,0.007478,0.006554,0.005283,-48.76,-2.92,11.79,20.72,24.73,28.54,-13.15,5.1,16.72,23.03,26.79,70.11,174.27,201.9,180.78,160.3,148.26,8.96,2.7,4.24,5.15,3.29,2.28,33.67,-18.57,500.39,0.023499
Baise,107.5,25.0,2005,8,2005-08,3.193,8.75,14.053,19.106,22.306,0.000317,0.001386,0.005183,0.005397,0.004533,-49.04,-2.7,11.43,19.99,24.01,27.86,-11.47,6.55,16.52,22.69,26.5,40.68,115.51,156.07,124.52,99.77,86.84,10.79,0.98,1.55,3.62,2.77,1.99,34.32,-17.13,434.35,0.016817
Baise,107.5,25.0,2005,9,2005-09,2.791,7.022,12.338,16.76,19.438,0.000472,0.001596,0.00418,0.003999,0.002681,-49.85,-3.77,9.77,18.43,22.42,26.11,-13.13,3.43,14.53,20.61,24.26,64.51,121.68,118.41,101.99,71.56,51.6,3.58,1.66,2.23,3.32,2.34,1.35,30.39,-12.33,487.81,0.012927
Baise,107.5,25.0,2005,10,2005-10,2.278,6.905,10.213,12.934,15.209,0.002132,0.003042,0.002431,0.003367,0.002381,-51.61,-5.53,7.91,14.22,18.02,21.81,-15.6,3.2,11.69,16.57,20.34,271.12,262.43,251.23,117.0,72.91,58.59,13.34,9.18,4.32,2.33,2.55,1.53,26.72,-4.71,316.57,0.013353
