平均气温(°C),最高气温(°C),最低气温(°C),平均湿度(%),总降水量(mm),平均风速(km/h),日照时数(h),参考蒸散量ET₀(mm),平均海平面气压(hPa),土壤温度0-7cm(°C),土壤湿度0-7cm(m³/m³),最大阵风(km/h),盛行风向(°),平均云量(%),平均露点温度(°C),日期,年份_int,月份_int,季节
10.465,24.946250000000003,-1.4187500000000002,74.44125000000001,30.767500000000002,13.441500000000003,4.4953777040309415,6.0062500000000005,990.6125,11.25625,0.5875,30.897,45.1,73.25375,5.6075,2005-01-01,2005,1,冬季
13.8225,28.45125,1.7625000000000002,73.88250000000001,37.065,15.493500000000001,4.460227893456039,7.769999999999998,988.1125,15.030000000000001,0.5825,37.098,56.6875,74.48125,8.8,2005-02-01,2005,2,冬季
16.745,29.876249999999995,4.13375,72.3575,81.80125,14.597999999999999,5.165165677649951,15.5,988.55,17.62875,0.6024999999999999,40.4595,82.0625,79.98125,11.1675,2005-03-01,2005,3,春季
22.69875,34.737500000000004,12.33875,73.83625,97.6125,13.0185,8.02400983802236,44.8875,983.5624999999999,23.466250000000002,0.6212500000000001,34.74,147.42499999999998,74.05375,17.22375,2005-04-01,2005,4,春季
26.650000000000002,34.691250000000004,18.835,81.26375,243.04,13.373999999999999,10.226221161367874,94.04624999999999,976.775,27.04625,0.72875,34.299,171.05,74.25500000000001,22.79625,2005-05-01,2005,5,春季
26.918749999999996,32.011250000000004,22.622500000000002,89.48124999999999,290.5875,12.123,5.918861350879967,73.425,973.7375,26.95,0.9012500000000001,26.154,165.275,92.72749999999999,24.97,2005-06-01,2005,6,夏季
27.50375,33.48375,23.294999999999998,85.17625,154.6125,11.785499999999999,12.241535543127469,156.9375,976.7624999999999,27.59875,0.8825,33.9885,164.51250000000002,63.685,24.65125,2005-07-01,2005,7,夏季
27.01375,33.616249999999994,21.12,85.0875,174.72375000000002,10.368,11.181566711200688,163.99,976.0249999999999,27.22375,0.84875,28.808999999999997,108.8125,76.03875,24.155,2005-08-01,2005,8,夏季
25.9025,32.67,19.124999999999996,81.53999999999999,100.35000000000001,12.933,12.795267130928918,168.9,981.4375000000001,26.01625,0.785,36.83700000000001,56.3875,63.87625,22.289999999999996,2005-09-01,2005,9,秋季
22.371250000000003,32.292500000000004,12.122500000000002,73.405,16.430000000000003,12.1005,13.329380606919358,105.08999999999999,987.475,22.835,0.67875,29.988,45.3,47.27375000000001,16.977500000000003,2005-10-01,2005,10,秋季
18.85875,30.698750000000004,6.9750000000000005,75.81250000000001,44.43750000000001,12.8385,12.433663621408142,44.887499999999996,988.1875,19.447499999999998,0.64625,27.63,50.6125,56.02875,14.1025,2005-11-01,2005,11,秋季
11.791250000000002,23.725,1.41125,65.41749999999999,30.535000000000004,15.120000000000001,10.119280389361371,15.655,993.2250000000001,12.508750000000001,0.6125,36.112500000000004,39.3125,62.36375000000001,4.76375,2005-12-01,2005,12,冬季
12.4825,25.3925,0.2300000000000001,72.345,22.707499999999996,14.0625,7.3187390200950375,11.779999999999998,989.6125,13.23,0.5950000000000001,34.830000000000005,48.56250000000001,61.74375,7.135,2006-01-01,2006,1,冬季
14.319999999999999,27.77,4.20125,75.85249999999999,74.69,15.160499999999999,3.341410509906276,9.1,990.7499999999999,15.383750000000001,0.5925,37.080000000000005,51.8125,88.325,9.758750000000001,2006-02-01,2006,2,冬季
17.799999999999997,30.078750000000003,2.4187499999999997,75.42625000000001,69.2075,13.175999999999998,5.567132376215061,27.55125,985.3125,18.72,0.64375,40.2165,77.0625,84.795,12.8825,2006-03-01,2006,3,春季
23.2425,34.3425,9.97,74.78125,100.72500000000001,14.940000000000001,8.115944151251302,51.412499999999994,981.1999999999999,24.020000000000003,0.6575,38.2815,163.0125,76.06125,17.92375,2006-04-01,2006,4,春季
24.773750000000003,34.1225,15.182500000000001,77.5475,207.235,13.428,8.373789577295106,79.90249999999999,980.5124999999999,25.25375,0.7,38.745000000000005,130.1875,75.51,20.04375,2006-05-01,2006,5,春季
26.716249999999995,32.676249999999996,21.36,86.18375,260.02500000000003,11.241,8.528612127846657,103.8375,976.4625,26.9475,0.8124999999999999,27.171,176.4375,83.30999999999999,24.0725,2006-06-01,2006,6,夏季
27.56125,33.44,23.262500000000003,86.29125,313.06125,12.154499999999999,9.680078606183365,131.01375000000002,973.7375,27.67625,0.87125,33.57000000000001,164.23750000000004,78.20375,24.94125,2006-07-01,2006,7,夏季
26.885,32.22,21.223750000000003,84.97000000000001,232.88750000000002,10.858500000000001,11.52295387632875,124.23250000000002,976.3,26.922500000000003,0.89625,45.52875,86.4625,71.08875,24.029999999999998,2006-08-01,2006,8,夏季
24.34625,31.785,16.05125,80.39249999999998,63.224999999999994,12.257999999999997,13.132199045077462,146.54999999999998,981.8625,24.458750000000002,0.8325,30.573,45.8,57.005,20.54625,2006-09-01,2006,9,秋季
23.92125,30.203749999999996,15.67125,79.24875,41.96625,9.9315,13.329380606919358,119.15624999999999,986.2375,24.271250000000002,0.7150000000000001,25.929,67.17500000000001,46.67624999999999,19.846249999999998,2006-10-01,2006,10,秋季
18.94625,29.1375,9.22,75.6475,70.01249999999999,12.69,11.490332129578706,52.687499999999986,987.1625,19.26125,0.6649999999999999,30.6045,52.31249999999999,59.52375,14.026250000000001,2006-11-01,2006,11,秋季
12.875,25.555000000000003,3.4887499999999996,69.78875,7.94375,14.2605,13.195499219398968,27.125,992.7125,13.256250000000001,0.6487499999999999,30.293999999999997,40.837500000000006,50.94375000000001,6.89125,2006-12-01,2006,12,冬季
10.715000000000002,22.58875,2.06,69.46374999999999,33.59624999999999,14.800500000000001,6.952862235369534,11.0825,994.1624999999999,11.357499999999998,0.625,32.6295,35.3625,70.5325,4.70375,2007-01-01,2007,1,冬季
17.708750000000002,28.168750000000003,5.53125,75.17,46.970000000000006,13.239,7.801310404210194,15.294999999999998,986.6250000000001,18.091250000000002,0.605,32.877,131.16250000000002,70.505,12.6575,2007-02-01,2007,2,冬季
18.845,32.115,6.3412500000000005,77.775,65.91375000000001,15.5925,5.161982643502626,25.613749999999996,984.55,19.72625,0.6400000000000001,34.6365,111.85,86.0325,14.44625,2007-03-01,2007,3,春季
20.546249999999997,33.23875,7.98,73.69875,110.54999999999998,12.995999999999999,7.03580032847186,38.962500000000006,984.8000000000001,21.375,0.645,44.032500000000006,66.7375,84.26124999999999,15.157500000000002,2007-04-01,2007,4,春季
25.1175,34.58,15.382499999999997,75.44125000000001,166.66375000000002,11.3535,10.260987736485557,98.3475,979.85,25.588749999999997,0.69625,31.387499999999996,164.525,69.36125,19.92,2007-05-01,2007,5,春季
27.031249999999996,33.051249999999996,20.86,84.41125000000001,288.075,11.5875,9.504733220673339,120.60000000000001,975.8875,27.295,0.7975,26.630999999999997,178.03750000000002,79.37,23.995,2007-06-01,2007,6,夏季
27.5625,32.66625,23.195,85.42625000000001,153.17875,13.567499999999999,11.297172739725108,168.25249999999997,975.9000000000001,27.76625,0.8125000000000001,31.8105,173.9125,74.93374999999999,24.756249999999998,2007-07-01,2007,7,夏季
27.43875,33.835,22.53125,82.535,224.59499999999997,9.863999999999999,12.034511728400801,164.57125000000002,975.4500000000002,27.575,0.7925000000000001,24.552000000000003,109.3375,71.38875,24.0125,2007-08-01,2007,8,夏季
24.6225,31.398750000000003,15.89,81.8075,151.27499999999998,12.388499999999999,11.099315995006812,141.825,979.975,24.856250000000003,0.815,32.81850000000001,38.7125,69.09125,21.1,2007-09-01,2007,9,秋季
21.91,31.28125,12.38625,74.76,20.0725,13.581000000000001,13.329380606919358,109.15875000000001,986.225,22.19375,0.7,32.5935,43.775000000000006,47.58,16.845000000000002,2007-10-01,2007,10,秋季
16.43625,27.2975,3.946250000000001,68.33687499999999,14.662500000000001,14.463000000000001,13.433927802763785,48.224999999999994,989.9624999999999,16.6525,0.61875,34.780499999999996,31.9125,52.25750000000001,8.68125,2007-11-01,2007,11,秋季
14.530000000000001,25.9575,3.73375,73.03125,34.448750000000004,13.5945,8.309740890510923,13.7175,989.425,15.07375,0.5850000000000001,29.898,52.4625,78.06124999999999,9.196250000000001,2007-12-01,2007,12,冬季
9.08,26.722500000000004,-0.17500000000000007,71.30000000000001,65.56500000000001,16.0245,4.811365404658593,6.51,991.6499999999999,10.067499999999999,0.61125,31.4955,35.0375,70.395,3.66,2008-01-01,2008,1,冬季
9.165000000000001,24.035000000000004,-2.3075,71.04500000000002,59.087500000000006,14.805,4.389859052409259,13.920000000000002,993.15,10.20375,0.6912499999999999,33.4845,36.63750000000001,82.72250000000001,3.665,2008-02-01,2008,2,冬季
18.439999999999998,31.09875,6.33875,75.69,74.6325,11.623500000000002,7.273144514611687,30.690000000000005,985.575,18.965,0.65875,35.874,112.325,72.57125,13.475000000000001,2008-03-01,2008,3,春季
22.383749999999996,33.723749999999995,12.2325,78.82624999999999,87.7125,12.9735,6.838092847227272,53.175,982.0,23.2425,0.66625,33.5205,118.66250000000002,80.35125000000001,18.12,2008-04-01,2008,4,春季
24.64375,32.22625,16.38375,78.64625,224.40125,12.015,8.216955086887744,84.475,978.2874999999999,25.255,0.7037500000000001,33.1965,126.01249999999997,76.87625,20.29,2008-05-01,2008,5,春季
26.1,32.31875,19.88,85.91375000000001,296.00625,11.7675,6.978291292302666,113.88749999999999,975.8375000000001,26.3,0.8499999999999999,30.163500000000003,161.1375,87.72125000000001,23.39125,2008-06-01,2008,6,夏季
26.971249999999998,33.79750000000001,23.025,86.4375,247.76749999999998,11.7135,9.674505862936352,129.27,975.4875,27.03375,0.89125,28.4355,176.23749999999998,81.95125,24.378750000000004,2008-07-01,2008,7,夏季
26.8425,33.4675,22.222500000000004,86.38499999999999,273.14875000000006,11.515500000000001,10.244426838121056,122.91499999999999,976.6374999999999,26.974999999999994,0.89375,40.491,154.0125,83.67375,24.2675,2008-08-01,2008,8,夏季
26.05125,33.12625,18.22625,82.78625,188.43750000000003,10.611,12.686366657092691,133.6125,979.7249999999999,26.183750000000003,0.8675,48.43575,67.7625,60.36,22.730000000000004,2008-09-01,2008,9,秋季
22.851249999999997,29.702500000000008,15.525,81.72250000000001,94.35625,11.672999999999998,12.93865938094417,119.31125000000002,985.8625,23.021250000000002,0.815,30.546,54.22500000000001,59.022499999999994,19.34875,2008-10-01,2008,10,秋季
16.244999999999997,27.43125,4.67875,77.60624999999999,112.05,13.342500000000001,13.433927802763785,49.3875,990.3625,16.43125,0.8312499999999999,29.654999999999998,38.775000000000006,47.635000000000005,11.9375,2008-11-01,2008,11,秋季
12.55125,22.845000000000002,1.7849999999999997,73.01499999999999,18.71625,12.784500000000001,12.640589799906815,30.844999999999995,991.5499999999998,12.53125,0.7574999999999998,35.7435,37.4,48.70375,7.38,2008-12-01,2008,12,冬季
10.011249999999999,21.9025,0.73625,70.6075,11.74125,13.702500000000002,9.094021300646427,17.94125,993.3125000000001,10.47125,0.72,36.679500000000004,43.175000000000004,56.96375,4.3375,2009-01-01,2009,1,冬季
