station,year,month,longitude,latitude,气温_2m_℃,最高气温_℃,最低气温_℃,气温日较差_℃,露点温度_℃,地表温度_℃,气压_kPa,风速_10m_ms,最大风速_10m_ms,风速_50m_ms,风向_10m_度,相对湿度_%,比湿_gkg,降水量_mm_day,短波辐射_全天空_kWhm2day,长波辐射_全天空_kWhm2day,光合有效辐射_kWhm2day,紫外线指数,总云量_%,蒸散发_mm_day,陆地蒸发_mm_day,根区土壤湿度_01,剖面土壤湿度_01,表层土壤湿度_01,短波辐射_晴空_kWhm2day,SPI_1m,SPI_3m,SPEI_1m,SPEI_3m,NDVI,K指数_℃,Showalter指数_℃,整层水汽通量_kg_ms,温度_℃_850hPa,温度_℃_500hPa,比湿_gkg_850hPa,比湿_gkg_700hPa,month_sin,month_cos,日期
Baise,2005,1,106.62,23.9,9.2,28.51,-2.77,11.21,4.45,9.56,96.43,2.66,6.97,4.27,74.3,75.14,5.73,1.02,6.73,28.67,3.1,0.58,66.45,0.11,0.81,0.53,0.53,0.53,15.02,0.0777,-0.1906,-0.0162,0.1518,0.089,9.39,9.21,0.013903,6.18,-9.76,5.792,3.465,0.49999999999999994,0.8660254037844387,2005-01-01
Baise,2005,2,106.62,23.9,13.86,34.23,0.52,14.5,7.36,14.61,96.16,3.42,7.46,5.13,92.2,68.26,7.25,0.62,10.04,30.58,4.64,0.96,61.3,0.14,1.08,0.52,0.52,0.5,18.26,-0.2548,-0.1906,-0.1885,0.1518,0.1196,21.5,-0.84,0.021194,10.04,-11.19,7.918,4.447,0.8660254037844386,0.5000000000000001,2005-02-01
Baise,2005,3,106.62,23.9,16.78,33.88,3.54,13.89,9.53,17.46,96.22,3.33,8.11,5.12,106.6,66.15,8.29,1.7,11.19,31.08,5.15,1.04,74.28,0.17,1.31,0.51,0.52,0.5,20.58,0.2375,-0.1906,0.4715,0.1518,0.1358,22.74,-0.35,0.016748,10.03,-10.57,7.979,4.926,1.0,6.123233995736766e-17,2005-03-01
Baise,2005,4,106.62,23.9,22.73,38.85,11.41,13.43,14.99,23.39,95.78,2.98,7.07,4.76,135.5,65.96,11.42,3.05,14.76,33.0,6.78,1.4,63.68,0.54,2.06,0.53,0.53,0.52,22.96,0.3819,0.076,0.1623,0.3112,0.2082,28.59,-8.7,0.018512,15.78,-7.45,10.438,6.008,0.8660254037844387,-0.4999999999999998,2005-04-01
Baise,2005,5,106.62,23.9,26.95,39.99,18.4,11.79,20.83,27.34,95.11,2.75,6.87,4.69,159.2,73.49,16.43,8.19,19.11,34.76,8.99,2.01,65.91,2.71,4.16,0.62,0.61,0.65,26.06,0.6099,0.5817,0.4337,0.5294,0.2073,34.69,-17.98,0.027237,19.54,-5.08,13.628,7.542,0.49999999999999994,-0.8660254037844387,2005-05-01
Baise,2005,6,106.62,23.9,26.34,33.72,21.35,7.33,23.86,26.38,94.86,2.15,4.97,3.72,129.8,87.24,19.68,6.119999999999999,13.81,35.97,6.74,1.64,91.3,3.49,4.79,0.88,0.87,0.89,25.55,2.2476,1.658,1.7623,1.3396,0.1988,37.78,-20.0,0.018498,20.09,-2.47,15.796,10.043,1.2246467991473532e-16,-1.0,2005-06-01
Baise,2005,7,106.62,23.9,26.58,33.6,21.11,8.14,23.46,26.56,95.17,2.35,6.34,4.01,151.5,84.35,19.12,4.05,18.13,35.18,8.61,2.08,65.77,5.36,5.54,0.86,0.86,0.86,26.54,-1.1892,0.9876,-1.0842,0.8355,0.2216,33.67,-18.57,0.023499,20.72,-2.92,14.239,7.908,-0.4999999999999997,-0.8660254037844388,2005-07-01
Baise,2005,8,106.62,23.9,25.95,35.58,19.51,8.35,22.95,26.01,95.13,1.94,4.53,3.46,103.5,84.91,18.56,6.31,14.47,35.76,6.96,1.65,85.24,5.36,4.98,0.81,0.8,0.83,24.31,0.0239,0.7302,-0.164,0.6879,0.2602,34.32,-17.13,0.016817,19.99,-2.7,14.053,8.75,-0.8660254037844385,-0.5000000000000004,2005-08-01
Baise,2005,9,106.62,23.9,24.81,33.01,16.83,9.99,20.92,24.82,95.69,2.39,6.7,4.23,71.3,80.91,16.32,2.75,16.09,34.21,7.51,1.69,59.8,5.89,4.9,0.72,0.73,0.75,22.85,-1.1889,-1.1278,-1.1041,-1.0013,0.2177,30.39,-12.33,0.012927,18.43,-3.77,12.338,7.022,-1.0,-1.8369701987210297e-16,2005-09-01
Baise,2005,10,106.62,23.9,20.98,32.73,10.21,10.94,16.03,21.15,96.25,2.28,4.98,4.04,63.5,75.68,12.16,1.2,12.14,32.79,5.54,1.15,60.91,3.38,3.05,0.62,0.63,0.64,18.03,-1.1354,-0.8899,-1.0074,-0.8006,0.1664,26.72,-4.71,0.013353,14.22,-5.53,10.213,6.905,-0.8660254037844386,0.5000000000000001,2005-10-01
